AllocationID,AssetID,EmployeeID,AllocatedDate,ExpectedReturn,Status
AL001,AST002,EMP004,2025-05-27,2025-11-23,Allocated
AL002,AST008,EMP020,2025-03-30,2025-09-26,Allocated
AL003,AST010,EMP036,2025-06-02,2025-11-29,Allocated
AL004,AST017,EMP015,2025-04-27,2025-10-24,Allocated
AL005,AST021,EMP003,2025-06-21,2025-12-18,Allocated
AL006,AST024,EMP034,2025-08-13,2026-02-09,Allocated
AL007,AST030,EMP001,2025-07-08,2026-01-04,Allocated
AL008,AST040,EMP012,2025-08-09,2026-02-05,Allocated
AL009,AST045,EMP016,2025-07-03,2025-12-30,Allocated
AL010,AST047,EMP022,2025-04-21,2025-10-18,Allocated
AL011,AST050,EMP035,2025-06-23,2025-12-20,Allocated
AL012,AST057,EMP040,2025-07-17,2026-01-13,Allocated
AL013,AST058,EMP009,2025-10-12,2026-04-10,Allocated
AL014,AST060,EMP027,2025-04-24,2025-10-21,Allocated
AL015,AST063,EMP002,2025-06-02,2025-11-29,Allocated
AL016,AST067,EMP038,2025-05-29,2025-11-25,Allocated
AL017,AST076,EMP047,2025-07-16,2026-01-12,Allocated
AL018,AST080,EMP023,2025-08-25,2026-02-21,Allocated
AL019,AST090,EMP047,2025-04-04,2025-10-01,Allocated
AL020,AST094,EMP001,2025-05-26,2025-11-22,Allocated
AL021,AST096,EMP049,2025-04-15,2025-10-12,Allocated
AL022,AST097,EMP022,2025-06-05,2025-12-02,Allocated
AL023,AST100,EMP037,2025-03-28,2025-09-24,Allocated
AL024,AST115,EMP029,2025-06-20,2025-12-17,Allocated
AL025,AST117,EMP028,2025-09-15,2026-03-14,Allocated
AL026,AST120,EMP029,2025-06-27,2025-12-24,Allocated
AL027,AST121,EMP023,2025-03-27,2025-09-23,Allocated
AL028,AST128,EMP029,2025-08-23,2026-02-19,Allocated
AL029,AST138,EMP001,2025-06-25,2025-12-22,Allocated
AL030,AST140,EMP049,2025-06-14,2025-12-11,Allocated
AL031,AST142,EMP021,2025-07-30,2026-01-26,Allocated
AL032,AST149,EMP049,2025-08-21,2026-02-17,Allocated
